"ko" "pathway" "path" "log" "padj" "factor"
"ko:K00333" "path:ko01100" "Metabolic pathways" -0.908307208451011 0.483790277431978 "Menthol_Menthol_vs_Control"
"ko:K00333" "path:ko00190" "Oxidative phosphorylation" -0.908307208451011 0.483790277431978 "Menthol_Menthol_vs_Control"
"ko:K00333" "path:ko00190" "Oxidative phosphorylation" -0.908307208451011 0.483790277431978 "Menthol_Menthol_vs_Control"
"ko:K00333" "path:ko01100" "Metabolic pathways" -0.908307208451011 0.483790277431978 "Menthol_Menthol_vs_Control"
"ko:K00522" "path:ko04978" "Mineral absorption" -0.737212932008402 0.351459649948917 "Menthol_Menthol_vs_Control"
"ko:K00522" "path:ko04217" "Necroptosis" -0.737212932008402 0.351459649948917 "Menthol_Menthol_vs_Control"
"ko:K00522" "path:ko04978" "Mineral absorption" -0.737212932008402 0.351459649948917 "Menthol_Menthol_vs_Control"
"ko:K00522" "path:ko04216" "Ferroptosis" -0.737212932008402 0.351459649948917 "Menthol_Menthol_vs_Control"
"ko:K00522" "path:ko04217" "Necroptosis" -0.737212932008402 0.351459649948917 "Menthol_Menthol_vs_Control"
"ko:K00522" "path:ko04216" "Ferroptosis" -0.737212932008402 0.351459649948917 "Menthol_Menthol_vs_Control"
"ko:K00819" "path:ko00330" "Arginine and proline metabolism" 0.714403643102879 0.252959114103012 "Menthol_Menthol_vs_Control"
"ko:K00819" "path:ko00330" "Arginine and proline metabolism" 0.714403643102879 0.252959114103012 "Menthol_Menthol_vs_Control"
"ko:K00819" "path:ko01130" "Biosynthesis of antibiotics" 0.714403643102879 0.252959114103012 "Menthol_Menthol_vs_Control"
"ko:K00819" "path:ko01100" "Metabolic pathways" 0.714403643102879 0.252959114103012 "Menthol_Menthol_vs_Control"
"ko:K00819" "path:ko01110" "Biosynthesis of secondary metabolites" 0.714403643102879 0.252959114103012 "Menthol_Menthol_vs_Control"
"ko:K00819" "path:ko01110" "Biosynthesis of secondary metabolites" 0.714403643102879 0.252959114103012 "Menthol_Menthol_vs_Control"
"ko:K00819" "path:ko01130" "Biosynthesis of antibiotics" 0.714403643102879 0.252959114103012 "Menthol_Menthol_vs_Control"
"ko:K00819" "path:ko01100" "Metabolic pathways" 0.714403643102879 0.252959114103012 "Menthol_Menthol_vs_Control"
"ko:K00967" "path:ko00440" "Phosphonate and phosphinate metabolism" 0.349124993067197 0.483790277431978 "Menthol_Menthol_vs_Control"
"ko:K00967" "path:ko00440" "Phosphonate and phosphinate metabolism" 0.349124993067197 0.483790277431978 "Menthol_Menthol_vs_Control"
"ko:K00967" "path:ko01100" "Metabolic pathways" 0.349124993067197 0.483790277431978 "Menthol_Menthol_vs_Control"
"ko:K00967" "path:ko00564" "Glycerophospholipid metabolism" 0.349124993067197 0.483790277431978 "Menthol_Menthol_vs_Control"
"ko:K00967" "path:ko00564" "Glycerophospholipid metabolism" 0.349124993067197 0.483790277431978 "Menthol_Menthol_vs_Control"
"ko:K00967" "path:ko01100" "Metabolic pathways" 0.349124993067197 0.483790277431978 "Menthol_Menthol_vs_Control"
"ko:K01251" "path:ko00270" "Cysteine and methionine metabolism" 1.29767384636364 0.14717528243193 "Menthol_Menthol_vs_Control"
"ko:K01251" "path:ko01100" "Metabolic pathways" 1.29767384636364 0.14717528243193 "Menthol_Menthol_vs_Control"
"ko:K01251" "path:ko00270" "Cysteine and methionine metabolism" 1.29767384636364 0.14717528243193 "Menthol_Menthol_vs_Control"
"ko:K01251" "path:ko01100" "Metabolic pathways" 1.29767384636364 0.14717528243193 "Menthol_Menthol_vs_Control"
"ko:K01596" "path:ko04152" "AMPK signaling pathway" 0.760577848922354 0.0956064146818089 "Menthol_Menthol_vs_Control"
"ko:K01596" "path:ko00620" "Pyruvate metabolism" 0.760577848922354 0.0956064146818089 "Menthol_Menthol_vs_Control"
"ko:K01596" "path:ko04068" "FoxO signaling pathway" 0.760577848922354 0.0956064146818089 "Menthol_Menthol_vs_Control"
"ko:K01596" "path:ko00020" "Citrate cycle (TCA cycle)" 0.760577848922354 0.0956064146818089 "Menthol_Menthol_vs_Control"
